claim_id,customer_id,make,accident_area,sex,marital_status,age,fault,policy_type,vehicle_category,vehicle_price_bucket,deductible,driver_rating,days_policy_accident,days_policy_claim,past_number_of_claims,age_of_vehicle,age_of_policyholder,police_report_filed,witness_present,agent_type,number_of_suppliments,address_change_claim,number_of_cars,base_policy,incident_period,fraud_reported
1,1,Honda,Urban,Female,Single,21,Policy Holder,Sport - Liability,Sport,more than 69000,300,1,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,1 year,3 to 4,Liability,1994-Dec,0
2,2,Honda,Urban,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,Collision,1994-Jan,0
3,3,Honda,Urban,Male,Married,47,Policy Holder,Sport - Collision,Sport,more than 69000,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Oct,0
4,4,Toyota,Rural,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,400,2,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,Liability,1994-Jun,0
5,5,Honda,Urban,Female,Single,27,Third Party,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,1994-Jan,0
6,6,Honda,Urban,Male,Single,20,Third Party,Sport - Collision,Sport,more than 69000,400,3,more than 30,more than 30,none,5 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Oct,0
7,7,Honda,Urban,Male,Married,36,Third Party,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Feb,0
8,8,Honda,Urban,Male,Single,0,Policy Holder,Sport - Collision,Sport,more than 69000,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,1994-Nov,0
9,9,Honda,Urban,Male,Single,30,Policy Holder,Sport - Collision,Sport,more than 69000,400,4,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,Collision,1994-Dec,0
10,10,Ford,Urban,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,1994-Apr,0
11,11,Mazda,Urban,Male,Single,71,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,All Perils,1994-Mar,0
12,12,Honda,Urban,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,1994-Mar,0
13,13,Ford,Urban,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-Jan,0
14,14,Honda,Rural,Male,Single,0,Third Party,Sedan - Collision,Sedan,more than 69000,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,1994-Jan,0
15,15,Ford,Urban,Male,Married,61,Policy Holder,Sedan - Liability,Sport,more than 69000,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,1994-Jan,0
16,16,Ford,Urban,Male,Single,38,Policy Holder,Sedan - Liability,Sport,more than 69000,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,1994-Aug,0
17,17,Ford,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Apr,0
18,18,Chevrolet,Urban,Female,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Jul,0
19,19,Pontiac,Urban,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,1994-May,0
20,20,Honda,Urban,Male,Married,30,Third Party,Sedan - Liability,Sport,more than 69000,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Apr,0
21,21,Mazda,Urban,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Apr,0
22,22,Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,Collision,1994-Jan,0
23,23,Mazda,Urban,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Liability,1994-Aug,0
24,24,Pontiac,Urban,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Jun,0
25,25,Mazda,Urban,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,All Perils,1994-Sep,0
26,26,Pontiac,Urban,Male,Married,60,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,1994-Mar,0
27,27,Honda,Urban,Male,Married,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Mar,0
28,28,Accura,Urban,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,1994-May,0
29,29,Honda,Urban,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,1994-Jul,1
30,30,Mazda,Urban,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,1994-May,0
31,31,Dodge,Urban,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,Collision,1994-Mar,0
32,32,Honda,Urban,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,1994-Mar,0
33,33,Chevrolet,Urban,Male,Single,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,1994-Mar,0
34,34,Honda,Urban,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Jan,0
35,35,Ford,Urban,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,1994-Jan,0
36,36,Chevrolet,Urban,Male,Single,34,Third Party,Sedan - Liability,Sport,20000 to 29000,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Oct,0
37,37,Honda,Urban,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Oct,0
38,38,Mazda,Urban,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Sep,0
39,39,Honda,Urban,Male,Married,55,Policy Holder,Sport - Collision,Sport,more than 69000,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,1994-Nov,0
40,40,Toyota,Urban,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Nov,0
41,41,Chevrolet,Urban,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1994-Mar,0
42,42,Pontiac,Urban,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,All Perils,1994-Mar,0
43,43,Toyota,Urban,Female,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,4,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,Liability,1994-Jul,0
44,44,Honda,Urban,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,1994-Jan,0
45,45,Toyota,Urban,Male,Married,72,Third Party,Sedan - Collision,Sedan,20000 to 29000,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,Collision,1994-Jan,0
46,46,Pontiac,Urban,Female,Married,29,Third Party,Sedan - All Perils,Sedan,less than 20000,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,1994-Feb,0
47,47,Pontiac,Urban,Male,Single,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,Collision,1994-Feb,0
48,48,Mazda,Urban,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,400,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,1994-Nov,0
49,49,Chevrolet,Urban,Female,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,1994-Apr,0
